ID,assetInfo_ID,resource,resourceName,costCode,costCodeDescription,wbs,unit,quantity,rate,discountPercent,discountedRate,amount,vatRate,itemCode,budgetRemarks,createdAt,createdBy,modifiedAt,modifiedBy
c1d1e1f1-0001-0001-0001-000000000001,b1a1c1d1-0001-0001-0001-000000000001,4001170010002,WATER PROOFING WORKS S/C,10001000,Subcontractors,360.00001,M2,7390.22,41.00,0.00,41.00,302999.02,5.00,ITM-001,Scaffolding work,2026-01-01T00:00:00Z,admin,2026-01-01T00:00:00Z,admin
c1d1e1f1-0002-0002-0002-000000000002,b1a1c1d1-0001-0001-0001-000000000001,4001170010002,WATER PROOFING WORKS S/C,10001000,Subcontractors,360.00001,LM,236.00,0.00,0.00,0.00,0.00,5.00,ITM-002,Pipe insulation,2026-01-01T00:00:00Z,admin,2026-01-01T00:00:00Z,admin

c1d1e1f1-0007-0007-0007-000000000007,b1a1c1d1-0002-0002-0002-000000000002,4001170010003,ELECTRICAL WORKS,10002000,Electrical,420.00001,M2,1500.00,75.00,5.00,71.25,106875.00,5.00,ITM-007,Cable laying,2026-01-02T00:00:00Z,admin,2026-01-02T00:00:00Z,admin
c1d1e1f1-0008-0008-0008-000000000008,b1a1c1d1-0002-0002-0002-000000000002,4001170010003,ELECTRICAL WORKS,10002000,Electrical,420.00001,Nos,200.00,150.00,0.00,150.00,30000.00,5.00,ITM-008,Switch installation,2026-01-02T00:00:00Z,admin,2026-01-02T00:00:00Z,admin

c1d1e1f1-0009-0009-0009-000000000009,b1a1c1d1-0003-0003-0003-000000000003,4001170010004,PLUMBING WORKS,10003000,Plumbing,510.00001,M2,980.00,60.00,10.00,54.00,52920.00,5.00,ITM-009,Pipe fitting,2026-01-03T00:00:00Z,admin,2026-01-03T00:00:00Z,admin
c1d1e1f1-0010-0010-0010-000000000010,b1a1c1d1-0003-0003-0003-000000000003,4001170010004,PLUMBING WORKS,10003000,Plumbing,510.00001,Nos,120.00,200.00,0.00,200.00,24000.00,5.00,ITM-010,Valve installation,2026-01-03T00:00:00Z,admin,2026-01-03T00:00:00Z,admin

c1d1e1f1-0011-0011-0011-000000000011,b1a1c1d1-0004-0004-0004-000000000004,4001170010005,CIVIL WORKS,10004000,Civil,610.00001,M3,300.00,500.00,0.00,500.00,150000.00,5.00,ITM-011,Concrete pouring,2026-01-04T00:00:00Z,admin,2026-01-04T00:00:00Z,admin

c1d1e1f1-0012-0012-0012-000000000012,b1a1c1d1-0005-0005-0005-000000000005,4001170010006,STEEL WORKS,10005000,Steel,710.00001,KG,5000.00,80.00,5.00,76.00,380000.00,5.00,ITM-012,Steel reinforcement,2026-01-05T00:00:00Z,admin,2026-01-05T00:00:00Z,admin
